,0
f12,0.22053844160843789
f3,0.11932438491262819
f77,0.08960929799034871
f25,0.0829787040934529
f2,0.05348357804269813
f0,0.04111607761004609
f1,0.041036640796604004
f22,0.029679560366785814
f24,0.028498325400609537
f23,0.028397818521327525
f8,0.017591520066848228
f9,0.016688828166390984
f14,0.015768903896246418
f15,0.015549414698628562
f10,0.014795784747297546
f7,0.014536050594001313
f20,0.014331228590613204
f11,0.014056768978717623
f16,0.013886992324290358
f6,0.012235164201618177
f74,0.00827069875652704
f32,0.008217254123208749
f18,0.007458401891879984
f59,0.007108576870135884
f31,0.005818155654683253
f19,0.005476298633543513
f64,0.005089084468556151
f55,0.004633966570560432
f45,0.004473908370789318
f26,0.004168288754604624
f34,0.00401819429380331
f75,0.0037552468919847333
f54,0.0037539665421097877
f17,0.0030717566047573784
f57,0.0029990970324070424
f50,0.0028682581201128683
f36,0.002229623847259311
f51,0.00220591786250373
f62,0.002205055366800045
f13,0.0020796393405131974
f44,0.0020218624155759757
f29,0.0019418837977814895
f48,0.001913826947030531
f39,0.00167017289632561
f33,0.0015762702739424313
f56,0.0015742301047594297
f37,0.0013712420184204919
f42,0.001218311272725641
f30,0.0011658066789887937
f35,0.0010622430737575466
f73,0.0010594114490917789
f40,0.0009573570736770982
f53,0.0009212162741785101
f68,0.0008012892939946787
f72,0.0007617974955301378
f49,0.00067084932828412
f63,0.0005009398430753753
f58,0.0004651937641811411
f70,0.00041585987481947655
f69,0.00037531900490747437
f76,0.0003671195182564017
f41,0.00035580647309137403
f66,0.0003541438822061288
f46,0.0003499865490012217
f71,0.0003268213797747324
f38,0.00032425818432301856
f43,0.00031698395110517564
f61,0.0002972378336543222
f60,0.0002934861066898761
f27,0.00026755709766638325
f67,0.00011518213665909834
f65,0.00010921839705700358
f52,4.289029766368469e-05
f28,2.8286350340784456e-05
f47,1.0633571313979686e-06
f21,0.0
f5,0.0
f4,0.0
