,0
f77,0.267995569555474
f2,0.08454910931401739
f1,0.06515495188414394
f0,0.05891475619633832
f23,0.04561850431559345
f24,0.04542188298487452
f9,0.034733878112361866
f8,0.031155811598182523
f11,0.0273170899615509
f7,0.026420573993554658
f6,0.02387536109039698
f16,0.02382650367046662
f10,0.023737835523317884
f15,0.023392536789309106
f20,0.019180375564699485
f74,0.01231623681441295
f18,0.0119770728164595
f32,0.011248169538688565
f59,0.011137687641582059
f19,0.009735313577973664
f22,0.009163138348311882
f31,0.00874536129779531
f64,0.008716448471851069
f14,0.008088361850284113
f45,0.007389681762410932
f17,0.006978837567220114
f55,0.006640224363623091
f26,0.006373304473162324
f54,0.006284405563288178
f34,0.006147508858399457
f75,0.004813810922570392
f57,0.004700536653788231
f62,0.003902916166392045
f50,0.003832595932491059
f29,0.003425535977819457
f48,0.0032433147582543098
f44,0.0030933407560856615
f51,0.0030353515348634954
f13,0.002972255508301213
f36,0.0026333979178166456
f39,0.0026179560298913085
f56,0.0024220148924983765
f30,0.0022311192988969694
f37,0.0021822320199554306
f33,0.001896365067680913
f73,0.0016043981605748663
f42,0.0015883633914559837
f40,0.0015682249451183761
f35,0.0015587871779499758
f68,0.0013275036155164337
f53,0.0013192768572054254
f72,0.0013067660089448076
f63,0.0009953897706917294
f49,0.0008337489962661168
f69,0.0007805495990675506
f43,0.0007508428314128383
f58,0.0007403957546846734
f38,0.000680227341838185
f41,0.0006609553796757129
f70,0.00065755631277334
f61,0.0006234434613681425
f66,0.0005713621426797392
f46,0.0005216060401059005
f60,0.0005197913746104604
f27,0.0005066211063432987
f71,0.000488746545124655
f76,0.0004753494639087879
f28,0.000240053220049509
f65,0.00023007664986790776
f67,0.00012748145171751686
f52,7.12886457072889e-05
f47,1.1956818290508931e-05
f21,0.0
f5,0.0
f4,0.0
