,0
f13,0.3758434082714999
f78,0.14101407879896835
f4,0.09111131448254539
f26,0.05497456202808324
f3,0.04155575982338143
f2,0.03732735799508131
f1,0.034505716230693165
f0,0.02414811216470132
f23,0.020823815001792676
f10,0.017345195416617123
f15,0.016815931931556838
f24,0.012959813560423071
f25,0.012628661725157813
f9,0.011966203485128987
f12,0.011126670358843868
f60,0.010819860750771034
f17,0.010622093405989895
f16,0.009119770789622395
f11,0.005546674119328767
f7,0.004964206254334517
f21,0.004956668722605699
f19,0.0034989060177062128
f8,0.0032691209959859117
f75,0.0030650810968373718
f20,0.0027382662863870127
f33,0.0027155522086673373
f18,0.002634458997968316
f65,0.002232452830010192
f32,0.0019947229636322274
f14,0.0017758781289940356
f35,0.0016882980768399849
f56,0.0016771840879425558
f55,0.0016447571963955111
f76,0.0015983580252716758
f46,0.0015745050687412867
f58,0.0013703973415626356
f27,0.0013444360095215726
f63,0.0011947902280644723
f37,0.0009929549994373637
f49,0.000934439477924912
f45,0.0009296001938387377
f52,0.0008484989853982548
f51,0.0008178081577214826
f40,0.0006717318703046538
f36,0.0006235218099275918
f38,0.000574743812472731
f74,0.0005420950365197646
f30,0.0005322249683388212
f43,0.0005282497031942472
f34,0.0005011012323975952
f41,0.0004982930874564459
f54,0.0004931654189115961
f31,0.0004738957245932159
f77,0.0004705064734561994
f57,0.00040206916895569055
f73,0.00036773118743060353
f69,0.00027095615045421374
f72,0.0002603649557612925
f62,0.0001835004663901796
f64,0.00017834170108887117
f71,0.00017274132477022546
f39,0.00016670208974797556
f47,0.0001595475457418128
f50,0.00015733450232604252
f61,0.00014862827576042203
f59,0.00013903635929180707
f29,0.00012997913482512614
f67,0.00011921169241922196
f42,0.00010882990265409857
f44,9.414300572902959e-05
f66,8.981055951659901e-05
f28,7.032261649659215e-05
f70,5.9407266383486405e-05
f53,5.7624422863655546e-05
f68,2.9390227649820817e-05
f48,8.455614194581773e-06
f5,0.0
f6,0.0
f22,0.0
