,0
f12,0.2558902028932385
f25,0.1385705802305399
f3,0.12686513211383177
f2,0.05108183772443497
f1,0.040015709451564026
f0,0.039125711251902166
f24,0.03268849118906596
f23,0.029559640626139343
f77,0.02911035284735545
f11,0.018259048809456977
f8,0.01616323695398658
f10,0.015714282798021607
f16,0.01568760256362163
f15,0.015021783763843185
f20,0.014111487731421459
f7,0.013408629290009497
f9,0.011270662631467991
f6,0.010283305259197269
f32,0.008390940261197013
f74,0.00794566464835932
f18,0.007850624538281847
f59,0.007552290242241195
f31,0.00699709638831179
f64,0.005522986716544208
f55,0.005463136080228668
f45,0.005281368371528187
f19,0.00500318850485305
f54,0.004729557031023268
f34,0.004187496565386059
f75,0.003970923443162703
f14,0.0037459653104275708
f26,0.003658945138556465
f51,0.0029679165496999875
f36,0.002906090435135659
f57,0.0028394457221505003
f17,0.002805310754392388
f44,0.002624817147529052
f50,0.002607416112716874
f48,0.0025803924672168927
f62,0.0025399496682264417
f13,0.002097758163938328
f29,0.001974742348495207
f33,0.0015431284718354084
f42,0.0013626997446164796
f30,0.0013437230328910647
f37,0.0012692128492069186
f73,0.0011856942605948317
f56,0.0011618855157069085
f39,0.00109095518064713
f53,0.000973336893108071
f68,0.000944874254619914
f35,0.0009396263432758155
f40,0.0008973692246838043
f49,0.0007944658186153613
f58,0.0007319031185674343
f72,0.0006972129905652486
f76,0.0005810044897803004
f41,0.0005641003747756181
f63,0.0005280009052353551
f22,0.0005241629649026133
f46,0.0005146658210502422
f60,0.0004328653966347807
f70,0.00040973502387478067
f69,0.0003978232781642924
f43,0.00037847258375058534
f61,0.00033495291862620187
f71,0.0003094343027585947
f38,0.00029818122620561366
f27,0.00029753153995656467
f66,0.0002058447431291345
f67,0.00010311790561126074
f52,6.675005135340586e-05
f65,4.55480365551296e-05
f47,0.0
f28,0.0
f5,0.0
f4,0.0
f21,0.0
