,0
f4,0.18338879945128833
f3,0.06678609685354056
f78,0.0649123231597219
f1,0.0621289673902656
f0,0.06059061971432482
f2,0.06047230224792613
f25,0.04560867539708401
f24,0.04481072341661051
f12,0.027843761444249916
f9,0.026057363834688766
f10,0.02340587678796803
f8,0.023332419955239384
f17,0.022734609325353126
f16,0.021830201820821196
f7,0.02098931816401287
f11,0.019570247743945186
f26,0.018624090901348853
f21,0.017973678716370154
f19,0.012994742943729307
f75,0.011515256578913613
f33,0.00964408806087771
f32,0.008908583351107332
f20,0.008690668977576962
f65,0.008161278730097752
f46,0.007007968320638079
f56,0.006902203764653035
f13,0.006640437897835149
f60,0.006597247136771151
f27,0.006588164127970236
f15,0.0064761571185301
f35,0.005564193369277825
f55,0.005407651333269895
f76,0.004903098581088974
f18,0.004876075051836437
f58,0.004515430574780866
f23,0.004504574949837145
f51,0.0038632773448810703
f63,0.0037351251126460133
f45,0.003332720894259126
f57,0.0032786276862300703
f30,0.0031403682980861557
f49,0.0030543251945929833
f52,0.0029732315109638413
f40,0.0029662199779618105
f37,0.002952137879825329
f14,0.002714897225063159
f34,0.0024242709921162026
f38,0.0023771166946843954
f31,0.0020924038034004218
f43,0.0020172703494425845
f41,0.001535535008596257
f36,0.001442075670397911
f50,0.0011895686665266663
f74,0.0011764103449042886
f69,0.0011511138320186376
f54,0.0011222497527121542
f64,0.0010194187563218914
f44,0.0009504110918080093
f42,0.0008847966343235933
f71,0.0008477115794190847
f62,0.0007991781597151638
f73,0.000781991509972271
f72,0.0006780832902775188
f67,0.0006569651959015864
f70,0.0006401953255277834
f47,0.0005712338522365784
f39,0.0005211418907756048
f77,0.0003991944557783099
f59,0.0003925157258275265
f28,0.000371229337971975
f61,0.00023725866803768825
f68,0.00020291819886212797
f66,0.00019522198716723612
f29,0.00016931912350331356
f53,0.00016617750351409627
f48,1.8194280198671925e-05
f6,0.0
f5,0.0
f22,0.0
