,0
f13,0.6776662798242853
f26,0.2315757918111856
f3,0.026279974273394995
f2,0.006081324127619791
f1,0.005369235316184321
f10,0.00530042140455841
f0,0.005245756946815812
f9,0.004527202626441805
f4,0.004059416678271151
f25,0.003068302960411471
f16,0.0029119245677228203
f24,0.002287791611647116
f78,0.0021991894685202246
f11,0.002065055337071549
f17,0.0019613025187055462
f21,0.001492053875294006
f33,0.0010351217337221457
f75,0.0010245121394812393
f76,0.0010190710306373413
f58,0.0009309823564536996
f12,0.0007796173877958572
f35,0.0007590736807964642
f8,0.0007186866238954086
f7,0.0006752411313097393
f65,0.0006545408836885656
f15,0.0006544179907138974
f37,0.0006444866310308045
f63,0.0006066253242885719
f19,0.0005601511992804354
f14,0.000468283904730211
f56,0.00044998379339294763
f46,0.0004439314452828812
f31,0.00039364464852093185
f34,0.000389198171704811
f38,0.00037234762168280704
f60,0.00037180503191332155
f55,0.0003590160929524502
f49,0.00035461081029057427
f18,0.00034384237636960916
f20,0.0003173469526326171
f51,0.00028180010751213864
f74,0.0002815903279127115
f32,0.00026610745823166986
f52,0.0002631635159462333
f23,0.00022971861700186487
f61,0.0002265690944615202
f36,0.000211547532821206
f54,0.0001828111550991968
f77,0.00016398362416392143
f45,0.00015574159342141301
f30,0.00013020119582822935
f64,0.00012613510093774223
f59,0.00012484015513665285
f41,0.00012202714237083947
f50,0.00012038827227971787
f43,0.00011189535393580224
f40,9.476450681848607e-05
f39,8.975288471700031e-05
f62,8.288687327057847e-05
f27,7.785305073599512e-05
f66,7.46180045187131e-05
f67,7.083992389507534e-05
f69,4.574541830758252e-05
f47,3.070888994139778e-05
f42,1.6747890037321768e-05
f70,0.0
f48,0.0
f53,0.0
f44,0.0
f72,0.0
f68,0.0
f57,0.0
f6,0.0
f5,0.0
f73,0.0
f28,0.0
f29,0.0
f22,0.0
f71,0.0
