,ACCP,CONF
677,,
678,,
679,Y,Y
680,Y,Y
681,Y,
682,Y,
683,,
684,,
685,,
686,Y,
687,Y,
688,,
689,Y,
690,Y,
691,Y,Y
692,,
693,,
694,,
695,Y,
696,,
697,,
698,Y,
699,,
700,,
701,,
702,Y,
703,,
704,Y,
705,,
706,,
707,Y,
708,,
709,Y,
710,,
711,Y,
712,Y,
713,Y,
714,Y,
715,Y,
716,,
717,Y,
718,,
719,,
720,Y,Y
721,,
722,,
723,,
724,Y,
725,Y,
726,Y,
727,Y,
728,Y,
729,,
730,,
731,,
732,,
733,,
734,Y,Y
735,Y,
736,Y,Y
737,,
738,Y,
739,Y,
740,,
741,Y,
742,Y,
743,,
744,Y,
745,Y,
746,Y,Y
747,Y,Y
748,Y,Y
749,Y,
750,Y,
751,,
752,,
753,,
754,Y,
755,,
756,,
757,Y,
758,,
759,Y,
760,,
761,,
762,Y,
763,,
764,,
765,,
766,,
767,Y,
768,,
769,,
770,Y,Y
771,Y,
772,Y,
773,Y,
774,Y,
775,Y,
776,Y,
777,Y,Y
778,,
779,,
780,Y,Y
781,,
782,,
783,,
784,,
785,Y,
786,,
787,Y,Y
788,Y,
789,Y,
790,Y,
791,Y,
792,,
793,,
794,,
795,Y,
796,Y,
797,,
798,Y,
799,Y,
800,Y,
801,Y,
802,Y,
803,,
804,Y,
805,,
806,Y,
807,Y,
808,,
809,,
810,Y,
811,,
812,Y,Y
813,Y,
814,,
815,Y,
816,Y,
817,Y,
818,Y,
819,,
820,Y,
821,,
822,Y,
823,,
824,Y,
825,Y,Y
826,,
827,,
828,,
829,Y,
830,Y,
831,,
832,Y,
833,,
834,,
835,,
836,Y,
837,Y,
838,,
839,,
840,Y,Y
841,,
842,,
843,Y,
844,Y,Y
845,Y,Y
846,Y,Y
847,Y,Y
848,,
849,,
850,Y,
851,,
852,Y,
853,,
854,,
855,,
856,,
857,,
858,Y,
859,Y,Y
860,Y,
861,Y,
862,Y,
863,Y,
864,Y,
865,Y,
866,Y,
867,,
868,Y,Y
869,,
870,Y,
871,,
872,Y,
873,Y,
874,Y,
875,,
876,Y,
877,Y,
878,,
879,,
880,Y,
881,,
882,,
883,,
884,Y,
885,Y,Y
886,Y,
887,Y,
888,Y,
889,,
890,Y,
891,Y,
892,Y,
893,Y,
894,Y,
895,Y,Y
896,Y,
897,Y,
898,Y,
899,Y,
900,Y,Y
901,,
902,Y,
903,,
904,Y,
905,Y,
906,,
907,,
908,Y,
909,Y,
910,,
911,Y,Y
912,Y,Y
913,Y,
914,Y,
915,Y,
916,Y,
917,,
918,Y,Y
919,Y,
920,Y,
921,,
922,,
923,Y,
924,,
925,Y,
926,Y,
927,Y,Y
928,,
929,,
930,Y,
931,,
932,Y,
933,,
934,,
935,,
936,,
937,Y,Y
938,Y,
939,Y,
940,,
941,Y,
942,Y,
943,Y,
944,Y,
945,,
946,Y,
947,,
948,Y,
949,,
950,Y,
951,Y,
952,Y,
953,Y,Y
954,Y,Y
955,Y,
956,Y,Y
957,Y,
958,Y,Y
959,Y,
960,Y,
961,,
962,Y,
963,Y,
964,Y,
965,Y,
966,Y,
967,Y,
968,Y,
969,,
970,,
971,Y,
972,,
973,,
974,,
975,Y,
976,,
977,Y,
978,,
979,Y,
980,Y,
981,,
982,Y,
983,Y,
984,,
985,Y,
986,Y,
987,Y,
988,Y,
989,,
990,Y,Y
991,,
992,Y,
993,,
994,Y,
995,Y,
996,Y,
997,Y,
998,Y,
999,Y,
1000,,
1001,Y,
1002,Y,
1003,Y,
1004,Y,
1005,,
1006,Y,
1007,Y,Y
1008,Y,
1009,Y,
1010,,
1011,Y,
1012,,
1013,Y,
1014,Y,
1015,Y,Y
1016,Y,
1017,Y,
1018,Y,
1019,Y,
1020,Y,Y
1021,Y,
1022,Y,
1023,Y,
1024,,
1025,Y,Y
1026,Y,Y
1027,Y,
1028,,
1029,,
1030,Y,
1031,Y,
1032,Y,
1033,Y,
1034,Y,Y
1035,Y,
1036,Y,
1037,Y,
1038,,
1039,Y,Y
1040,,
1041,Y,
1042,Y,Y
1043,Y,
1044,,
1045,Y,Y
1046,Y,
1047,,
1048,Y,
1049,Y,
1050,Y,
1051,Y,
1052,Y,
1053,,
1054,Y,
1055,Y,
1056,,
1057,Y,
1058,,
1059,Y,
1060,,
1061,Y,
1062,Y,
1063,Y,
1064,Y,
1065,Y,
1066,Y,
1067,Y,
1068,Y,
1069,,
1070,Y,
1071,,
1072,,
1073,,
1074,Y,
1075,Y,
1076,Y,
1077,Y,
1078,Y,
1079,Y,Y
1080,Y,
1081,Y,
1082,Y,
1083,Y,
1084,Y,
1085,Y,Y
1086,Y,Y
1087,Y,
1088,Y,
1089,Y,
1090,Y,Y
1091,Y,
1092,Y,
1093,,
1094,,
1095,Y,
1096,Y,
1097,Y,
1098,,
1099,Y,
1100,,
1101,Y,Y
1102,Y,Y
1103,,
1104,Y,
1105,Y,
1106,Y,
1107,Y,Y
1108,Y,
1109,Y,
1110,Y,Y
1111,Y,Y
1112,Y,Y
1113,Y,
1114,Y,
1115,Y,
1116,,
1117,,
1118,,
1119,Y,Y
1120,Y,
1121,Y,Y
1122,Y,
1123,Y,Y
1124,,
1125,Y,
1126,,
1127,Y,
1128,Y,
1129,Y,
1130,,
1131,Y,
1132,,
1133,Y,
1134,,
1135,Y,Y
1136,Y,Y
1137,Y,
1138,,
1139,,
1140,,
1141,,
1142,Y,
1143,Y,Y
1144,,
1145,Y,
1146,Y,
1147,Y,
1148,Y,
1149,Y,
1150,Y,
1151,Y,
1152,Y,
1153,Y,
1154,Y,
1155,Y,
1156,,
1157,Y,
1158,Y,
1159,Y,
1160,Y,
1161,Y,
1162,,
1163,,
1164,Y,
1165,Y,
1166,,
1167,Y,
1168,Y,
1169,Y,Y
1170,Y,
1171,Y,
1172,Y,
1173,,
1174,Y,
1175,Y,
1176,,
1177,Y,
1178,Y,
1179,Y,Y
1180,Y,
1181,,
1182,Y,
1183,Y,
1184,Y,
1185,Y,
1186,,
1187,Y,
1188,Y,
1189,Y,
1190,,
1191,Y,
1192,Y,
1193,Y,
1194,Y,
1195,Y,Y
1196,Y,
1197,Y,Y
1198,Y,
1199,,
1200,Y,Y
1201,Y,
1202,,
1203,Y,Y
1204,Y,
1205,Y,
1206,Y,Y
1207,Y,Y
1208,Y,
1209,Y,
1210,,
1211,Y,
1212,Y,Y
1213,,
1214,Y,
1215,Y,
1216,Y,
1217,,
1218,Y,
1219,Y,
1220,Y,
1221,Y,
